Banned UserId, Moderator UserId, Reason, Unban Epoch, Event Epoch
1501106104,56098303,"NSFW in the discord, Bans are linked with the game :)",-1,1645199382
123721933,56098303,"repeated use of slurs in the discord, Bans are linked with the game.",-1,1645207919
56098303,56098303,test,-1, 0
-1,56098303,test,-1, 0
